product_code,product_section,product_chapter,world_export_value,pci_final,ubiquity,product_name,product_name_short,natural_resource,demand_growth,density,opportunity_gain,world_market_size,density_n,pci_n,opportunity_gain_n,world_market_n,demand_growth_n,opportunity_score,distance,opportunity_type,positive_years_last6,residual_code,eligible,density_pct,pci_pct,opportunity_gain_pct,world_market_pct,demand_growth_pct,feasibility_score,transformation_score,absolute_classification,relative_category
1001,Vegetable products,10,57201225641,-0.199450606022009,25,Wheat and meslin,Wheat and meslin,FALSE,0.0741260583202423,0.0744181587497999,79.2158930760737,57201225641,0.449239827675132,0.439463700966321,0.517115046239016,0.845061845850877,0.69927321601402,0.52495638036217,0.9255818412502,Long shots,6,FALSE,TRUE,0.871591908531222,0.35971855760774,0.481090589270009,0.939313984168865,0.867957746478873,0.742644499362047,0.626813364797404,Long shots,Incremental extensions
2716,Minerals,27,66592611984,-0.48116297032079,55,Electrical energy,Electrical energy,FALSE,0.132463330527425,0.0727110177661648,77.4641555895616,66592611984,0.435302011154862,0.394683664428621,0.505059702720419,0.852938876413125,0.750994250198674,0.512431873216621,0.927288982233835,Long shots,6,FALSE,TRUE,0.849604221635884,0.279683377308707,0.461741424802111,0.95778364116095,0.965669014084507,0.72836109665911,0.604086690326657,Long shots,Incremental extensions
1905,Foodstuffs,19,50214667802,-0.201669392464295,60,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty capsules of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products",Bakery products,FALSE,0.0841622138647244,0.0714551803329398,76.5428488200414,50214667802,0.425048826507918,0.439111010241503,0.498719329417859,0.838311828703717,0.708171135377736,0.512937004129864,0.92854481966706,Long shots,6,FALSE,TRUE,0.83377308707124,0.358839050131926,0.447669305189094,0.932277924362357,0.908450704225352,0.721935659692544,0.612085175963432,Long shots,Incremental extensions
1005,Vegetable products,10,51130629027,-1.05263062767728,24,Corn (maize),Corn,FALSE,0.0967544511524372,0.0868624156204428,59.5694674808404,51130629027,0.55083997122321,0.303845114831286,0.381909622317491,0.839248488604861,0.719335242141351,0.500995566174065,0.913137584379557,Long shots,6,FALSE,TRUE,0.955145118733509,0.123131046613896,0.253298153034301,0.934916446789798,0.931338028169014,0.720662386809865,0.525675579422003,Long shots,Incremental extensions
2309,Foodstuffs,23,42010498355,-0.260725057295568,50,Preparations of a kind used in animal feeding,Animal feed,FALSE,0.0813692492830964,0.072160591386009,73.5348959744248,42010498355,0.430808098837092,0.429723723192583,0.478018793452364,0.829068437446944,0.705694930866667,0.507293860912962,0.927839408613991,Long shots,6,FALSE,TRUE,0.846965699208443,0.338610378188215,0.399296394019349,0.920844327176781,0.897007042253521,0.715954002378386,0.594933773706443,Long shots,Incremental extensions
4401,Wood and paper,44,12394564149,-0.421303207257944,37,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",Fuel wood,FALSE,0.0645252007293744,0.0764731169660111,75.9947538632567,12394564149,0.46601737027351,0.404198768189738,0.49494737555164,0.765818240774369,0.690761225911094,0.508803193422037,0.923526883033989,Long shots,6,FALSE,TRUE,0.894459102902375,0.296394019349165,0.436235708003518,0.759894459102902,0.823943661971831,0.715507822661563,0.579975720638696,Long shots,Incremental extensions
0201,Animal products,2,27906083519,-0.653165850184425,26,"Meat of bovine animals, fresh or chilled",Beef,FALSE,0.0428909174103529,0.079735126966507,76.8708344544897,27906083519,0.492649790975745,0.367342673329224,0.500976505234946,0.807871682394306,0.671580563792891,0.512403620839526,0.920264873033493,Long shots,6,FALSE,TRUE,0.919085312225154,0.225153913808267,0.452946350043975,0.87598944591029,0.661091549295775,0.71496579521102,0.564262189230369,Long shots,Incremental extensions
3402,Chemicals,34,41483034855,-0.0636322123786592,48,"Organic surface-active agents (other than soap); surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of heading 3401",Cleaning products,FALSE,0.0496975979290173,0.0689842125045156,90.6269524500533,41483034855,0.404874806582081,0.461052929557618,0.595645215127699,0.828413738017147,0.677615274407052,0.526701358961092,0.931015787495484,Long shots,6,FALSE,TRUE,0.795954265611258,0.402814423922603,0.616534740545295,0.919085312225154,0.71919014084507,0.714707052782836,0.637794124022942,Long shots,Incremental extensions
2103,Foodstuffs,21,18111303573,-0.246848217894683,50,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard,Sauces and seasonings,FALSE,0.0828010557077503,0.0729404422863643,74.8500549747684,18111303573,0.437175129367385,0.431929538251308,0.487069632206911,0.785471046168833,0.706964351020087,0.507651146001686,0.927059557713636,Long shots,6,FALSE,TRUE,0.851363236587511,0.344766930518909,0.414248021108179,0.824098504837291,0.901408450704225,0.712084556591971,0.592383589133747,Long shots,Incremental extensions
0207,Animal products,2,32556955482,-0.42006941418218,29,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",Poultry,FALSE,0.0569037712333287,0.0759813666396766,67.3200982359655,32556955482,0.462002513921318,0.404394887728723,0.435248959380419,0.815858978346948,0.684004169905784,0.499835708505999,0.924018633360323,Long shots,6,FALSE,TRUE,0.890061565523307,0.297273526824978,0.33245382585752,0.896218117854002,0.783450704225352,0.707456767871964,0.562777788100636,Long shots,Incremental extensions
